First Name,Last Name,Pos
Vern,Mikkelsen*,PF
Eddie,Miller,C
Jack,Molinas,SF
Ken,Murray,SG
Jim,Neal,C
Jack,Nichols,C-F
Paul,Nolen,C
Mike,Novak,PF
Wally,Osterkorn,PF
Bob,Peterson,F
Bob,Peterson,F
Bob,Peterson,F
James,Phelan,G
Andy,Phillip*,PG
Jim,Pollard*,SF
George,Ratkovicz,PF
Connie,Rea,G-F
Frank,Reddout,F
Arnie,Risen*,C
Al,Roges,SF
Pep,Saul,SG
Fred,Schaus,SF
Fred,Schaus,F
Fred,Schaus,SF
Dolph,Schayes*,C
Dick,Schnittker,SF
Fred,Scolari,PG
George,Senesky,PG
Paul,Seymour,SG
Chuck,Share,C
Chuck,Share,C
Chuck,Share,C
Bill,Sharman*,SG
Connie,Simmons,C
Zeke,Sinicola,G
Whitey,Skoog,SG
Ed,Smith,SF
Joe,Smyth,SF
Joe,Smyth,SF
Joe,Smyth,SF
Odie,Spears,SF
Don,Sunderlage,SG
Dick,Surhoff,PF
Norm,Swanson,SF
Bill,Tosheff,PG
Hal,Uplinger,SG
Ernie,Vandeweghe,SG
Paul,Walther,SG
Isaac,Walthour,G
Bobby,Wanzer*,SG
Mark,Workman,F-C
George,Yardley*,SF
Max,Zaslofsky,SG
Max,Zaslofsky,SG
Max,Zaslofsky,SG
Max,Zaslofsky,SG
Zeke,Zawoluk,SF
,,
Don,Anielak,F
Paul,Arizin*,SF
Jim,Baechtold,SF
Don,Barksdale*,SF
Bob,Brannum,PF
Carl,Braun,SG
Tom,Brennan,SF
Frankie,Brian,SG
Bill,Calhoun,SG
Bob,Carney,SG
Fred,Christ,G
Cal,Christensen,SF
Nat,Clifton*,PF
Jack,Coleman,PF
Bert,Cook,SG
Chuck,Cooper,PF
Larry,Costello,PG
Bob,Cousy*,PG
Bob,Davies*,PG
Walt,Davis,C
George,Dempsey,SG
Fred,Diute,SG
Dick,Farley,SG
Ray,Felix,C
Danny,Finn,PG
Larry,Foust,C
Jim,Fritsche,PF
Bill,Gabor,SG
Harry,Gallatin*,PF
Jack,George,PG
Joe,Graboski,PF
Chuck,Grigsby,G
Alex,Hannum*,PF
Rollen,Hans,SG
Bob,Harrison,PG
Herm,Hedderick,G
Don,Henriksen,PF
Don,Henriksen,F-C
Don,Henriksen,PF
Lew,Hitch,F-C
Paul,Hoffman,G-F
Jim,Holstein,SF
Bob,Houbregs*,C-F
Mel,Hutchins,PF
Neil,Johnston*,C
Ed,Kalafat,PF
Mike,Kearns,PG
Billy,Kenville,SG
Red,Kerr,C
Dan,King,F
George,King,PG
Bob,Knight,G-F
Earl,Lloyd*,SF
Clyde,Lovellette*,C
Ed,Macauley*,C
Ronnie,MacGilvray,PG
Tom,Marshall,SF
Phil,Martin,SF
Slater,Martin*,PG
Ken,McBride,SG
Alfred,McGuire*,PG
Dick,McGuire*,PG
Jack,McMahon,PG
Carl,McNulty,SG
Monk,Meineke,PF
Vern,Mikkelsen*,PF
Jackie,Moore,F
Red,Morrison,C
Ken,Murray,G-F
Boris,Nachamkin,F
Jim,Neal,C
Jack,Nichols,PF
Wally,Osterkorn,SF
Togo,Palazzi,SG
Bob,Peterson,PF
Bob,Pettit*,PF
Andy,Phillip*,PG
Jim,Pollard*,SF
Frank,Ramsey*,SF
George,Ratkovicz,PF
Arnie,Risen*,C
Red,Rocha,C
Al,Roges,G-F
Dick,Rosenthal,SF
Pep,Saul,SG
Dolph,Schayes*,PF
Dick,Schnittker,SF
Fred,Scolari,PG
Frank,Selvy,G-F
Paul,Seymour,SG
Chuck,Share,C
Bill,Sharman*,SG
Gene,Shue,PG
Gene,Shue,PG
Gene,Shue,PG
Connie,Simmons,C-F
Whitey,Skoog,SG
Odie,Spears,SF
Art,Spoelstra,C
Don,Sunderlage,SG
Jim,Tucker,PF
Jack,Turner,SF
Paul,Walther,SG
Bobby,Wanzer*,SG
Bobby,Watson,G
Skippy,Whitaker,PG
George,Yardley*,SF
Max,Zaslofsky,SG
Zeke,Zawoluk,PF
,,
Paul,Arizin*,SF
Jesse,Arnelle,PF
Dick,Atha,SG
Jim,Baechtold,SF
Ernie,Barrett,SG
Ernie,Beck,SG
Don,Bielke,C
Carl,Braun,SG
Frankie,Brian,PG
Nat,Clifton*,PF
Jack,Coleman,PF
Jack,Coleman,PF
Jack,Coleman,PF
Ed,Conlin,SF
Chuck,Cooper,SF
Chuck,Cooper,F
Chuck,Cooper,SF
Bob,Cousy*,PG
Red,Davis,C
Walt,Davis,PF
George,Dempsey,PG
Corky,Devlin,SG
Walter,Dukes,C
Dick,Farley,SG
Ron,Feiereisel,G
Ray,Felix,C
Al,Ferrari,SF
Ed,Fleming,SG
Larry,Foust,C
Harry,Gallatin*,SF
Dick,Garmaker,SG
Jack,George,PG
Tom,Gola*,SG
Joe,Graboski,PF
Alex,Hannum*,PF
Chris,Harris,SG
Chris,Harris,SG
Chris,Harris,SG
Bob,Harrison,PG
Dick,Hemric,PF
Larry,Hennessy,SG
Lew,Hitch,PF
Jim,Holstein,F-G
Johnny,Horan,F
Johnny,Horan,F
Johnny,Horan,F
Bob,Houbregs*,C
Mel,Hutchins,PF
Neil,Johnston*,C
Ed,Kalafat,SF
Billy,Kenville,PG
Red,Kerr,C
George,King,PG
Earl,Lloyd*,SF
Jim,Loscutoff,SF
Clyde,Lovellette*,C
Ed,Macauley*,C
Slater,Martin*,PG
Dick,McGuire*,PG
Jack,McMahon,PG
Jack,McMahon,G
Jack,McMahon,PG
Monk,Meineke,PF
Chuck,Mencel,PG
George,Mikan*,C
Vern,Mikkelsen*,PF
Jackie,Moore,SF
Red,Morrison,C
Jack,Nichols,PF
Chuck,Noble,SG
Togo,Palazzi,SF
Med,Park,SF
Bob,Peterson,SF
Bob,Pettit*,C
Andy,Phillip*,PG
Richie,Regan,PG
Dick,Ricketts,PF
Dick,Ricketts,PF
Dick,Ricketts,PF
Arnie,Risen*,C
Red,Rocha,C
Bob,Santini,F
Bob,Schafer,SG
Bob,Schafer,SG
Bob,Schafer,SG
Dolph,Schayes*,PF
Dick,Schnittker,SF
Kenny,Sears,PF
Frank,Selvy,SG
Paul,Seymour,SG
Chuck,Share,C
Bill,Sharman*,SG
Gene,Shue,PG
Connie,Simmons,PF
Whitey,Skoog,SG
Odie,Spears,SF
Art,Spoelstra,C
Jack,Stephens,SG
Maurice,Stokes*,C
Jim,Tucker,PF
Jack,Twyman*,SF
Ernie,Vandeweghe,F-G
Bobby,Wanzer*,PG
Bob,Williams,F
George,Yardley*,SF
Max,Zaslofsky,SG
,,
Forest,Able,G
Paul,Arizin*,SF
Bob,Armstrong,C-F
Jim,Baechtold,SF
John,Barber,F
Ernie,Beck,SG
Irv,Bemoras,SF
Gary,Bergen,C
Al,Bianchi,PG
Carl,Braun,PG
Bob,Burrow,C
Nat,Clifton*,PF
Jack,Coleman,PF
Ed,Conlin,SG
Larry,Costello,PG
Bob,Cousy*,PG
Walt,Davis,PF
George,Dempsey,PG
Corky,Devlin,SG
Walter,Dukes,C
Ray,Felix,C
Ed,Fleming,SG
Larry,Foust,C
Harry,Gallatin*,PF
Dick,Garmaker,SG
Jack,George,SG
Joe,Graboski,PF
Si,Green,SG
